Participant_ID,Condition,Condition_Code,Grammar_Errors,Error_Free_T_Units_Pct,MTLD_Lexical_Diversity,Lexical_Overlap_Pct,Stance_Markers_Per_100w,First_Person_Expressions_Per_100w
P26,AI_Assisted_Revision,1,0.71,89.93,58.37,42.59,1.78,4.25
P27,AI_Assisted_Revision,1,0.72,92.98,59.12,26.91,1.92,2.47
P28,AI_Assisted_Revision,1,1.43,93.53,59.31,30.1,1.88,2.16
P29,AI_Assisted_Revision,1,1.6,81.99,67.77,32.22,2.34,3.26
P30,AI_Assisted_Revision,1,1.08,86.53,55.76,27.56,1.84,1.21
P31,AI_Assisted_Revision,1,0.8,93.34,66.17,48.4,2.06,2.37
P32,AI_Assisted_Revision,1,0.9,93.43,39.38,24.89,0.99,2.71
P33,AI_Assisted_Revision,1,2.17,92.86,53.88,40.52,1.95,4.8
P34,AI_Assisted_Revision,1,0.81,82.95,48.19,37.84,1.68,3.11
P35,AI_Assisted_Revision,1,1.71,89.95,50.14,34.59,1.62,2.47
P36,AI_Assisted_Revision,1,0.77,88.37,42.23,42.59,1.93,2.2
P37,AI_Assisted_Revision,1,0.61,84.68,60.02,41.24,1.31,4.41
P38,AI_Assisted_Revision,1,2.28,90.24,57.59,33.05,1.91,3.95
P39,AI_Assisted_Revision,1,1.43,84.39,41.3,36.3,2.39,2.93
P40,AI_Assisted_Revision,1,1.22,96.31,60.95,27.51,1.16,1.74
P41,AI_Assisted_Revision,1,1.38,85.41,63.26,41.45,3.51,1.89
P42,AI_Assisted_Revision,1,0.72,90.4,60.42,41.52,2.25,1.92
P43,AI_Assisted_Revision,1,1.29,89.92,44.08,38.96,1.24,3.06
P44,AI_Assisted_Revision,1,0.2,94.72,43.54,32.88,2.7,4.05
P45,AI_Assisted_Revision,1,0.93,83.0,63.24,36.26,1.7,2.08
P46,AI_Assisted_Revision,1,2.02,90.63,33.1,42.46,0.1,2.29
P47,AI_Assisted_Revision,1,1.06,84.86,33.3,41.78,2.99,0.44
P48,AI_Assisted_Revision,1,0.66,84.51,43.61,33.74,1.27,4.08
P49,AI_Assisted_Revision,1,1.54,85.19,42.36,34.39,0.89,2.17
P50,AI_Assisted_Revision,1,1.35,97.41,60.27,19.07,0.79,2.13
P51,AI_Assisted_Revision,1,1.16,80.97,43.99,42.57,2.16,2.82
P52,AI_Assisted_Revision,1,1.7,84.84,38.11,37.88,1.93,5.98
P53,AI_Assisted_Revision,1,1.24,84.82,64.51,29.04,2.28,2.93
P54,AI_Assisted_Revision,1,1.28,89.81,40.58,21.93,2.65,4.89
P55,AI_Assisted_Revision,1,0.91,84.25,39.21,32.8,1.83,4.04
P56,AI_Assisted_Revision,1,0.85,84.57,62.95,33.38,1.05,1.74
P57,AI_Assisted_Revision,1,0.9,91.6,53.16,32.38,1.64,1.51
P58,AI_Assisted_Revision,1,0.79,82.12,50.28,33.41,2.1,4.27
P59,AI_Assisted_Revision,1,0.9,93.21,56.17,37.23,2.49,4.2
P60,AI_Assisted_Revision,1,1.09,92.36,25.47,21.69,1.02,4.51
